pid,start_year,party,sex
3160,2013-01-03,Republican,M
3161,2013-01-03,Democrat,F
3162,2013-01-03,Democrat,M
3163,2013-01-03,Republican,M
3164,2013-01-03,Democrat,M
3165,2013-01-03,Republican,M
3166,2013-01-03,Republican,M
3167,2013-01-03,Democrat,F
3168,2013-01-03,Republican,M
3169,2013-01-03,Democrat,M
3170,2013-01-03,Democrat,M
3171,2013-01-03,Republican,M
3172,2013-01-03,Republican,M
3174,2013-01-03,Republican,M
3175,2013-01-03,Democrat,M
3176,2013-01-03,Republican,M
3177,2013-01-03,Republican,M
3178,2013-01-03,Republican,F
3179,2013-01-03,Democrat,F
3180,2013-01-03,Republican,M
3181,2013-01-03,Democrat,F
3182,2013-01-03,Republican,M
3183,2013-01-03,Democrat,M
3184,2013-01-03,Republican,M
3185,2013-01-03,Democrat,M
3186,2013-01-03,Democrat,M
3188,2013-01-03,Democrat,F
3189,2013-01-03,Republican,M
3190,2013-01-03,Republican,M
3191,2013-01-03,Republican,M
3192,2013-01-03,Republican,F
3193,2013-01-03,Republican,M
3194,2013-01-03,Republican,M
3195,2013-01-03,Republican,M
3196,2013-01-03,Republican,M
3198,2013-01-03,Republican,M
3199,2013-01-03,Republican,M
3200,2013-01-03,Republican,M
3201,2013-01-03,Democrat,M
3202,2013-01-03,Republican,M
3203,2013-01-03,Democrat,M
3204,2013-01-03,Democrat,F
3205,2013-01-03,Democrat,F
3206,2013-01-03,Republican,M
3207,2013-01-03,Democrat,M
3209,2013-01-03,Democrat,F
3211,2013-01-03,Democrat,F
3212,2013-01-03,Democrat,F
3213,2013-01-03,Democrat,M
3214,2013-01-03,Democrat,M
3215,2013-01-03,Democrat,M
3216,2013-01-03,Democrat,F
3217,2013-01-03,Republican,M
3218,2013-01-03,Democrat,F
3219,2013-01-03,Republican,M
3220,2013-01-03,Republican,M
3221,2013-01-03,Democrat,M
3223,2013-01-03,Republican,M
3224,2013-01-03,Republican,M
3225,2013-01-03,Republican,M
3226,2013-01-03,Democrat,M
3227,2013-01-03,Republican,M
3228,2013-01-03,Democrat,M
3229,2013-01-03,Republican,M
3230,2013-01-03,Democrat,M
3231,2013-01-03,Republican,M
3232,2013-01-03,Republican,M
3233,2013-01-03,Republican,M
3235,2013-01-03,Republican,M
3236,2013-01-03,Democrat,F
3237,2013-01-03,Democrat,M
3238,2013-01-03,Democrat,M
3239,2013-01-03,Democrat,M
3241,2013-01-03,Republican,M
3242,2013-01-03,Democrat,F
3243,2013-01-03,Republican,M
3244,2013-01-03,Democrat,F
3245,2013-01-03,Democrat,M
3246,2013-01-03,Republican,M
3247,2013-01-03,Republican,F
3248,2013-01-03,Democrat,M
3249,2013-01-03,Republican,M
3250,2013-01-03,Democrat,M
3251,2013-01-03,Republican,M
3252,2013-01-03,Democrat,F
3253,2013-01-03,Republican,F
3254,2013-01-03,Republican,M
3255,2013-01-03,Democrat,F
3256,2013-01-03,Republican,M
3257,2013-01-03,Republican,M
3258,2013-01-03,Republican,M
3259,2013-01-03,Democrat,M
3260,2013-01-03,Republican,M
3261,2013-01-03,Democrat,M
3262,2013-01-03,Republican,M
3263,2013-01-03,Democrat,M
3264,2013-01-03,Democrat,M
3265,2013-01-03,Republican,M
3267,2013-01-03,Republican,M
3268,2013-01-03,Democrat,M
3269,2013-01-03,Republican,M
3270,2013-01-03,Democrat,M
3271,2013-01-03,Republican,M
3272,2013-01-03,Republican,M
3273,2013-01-03,Republican,M
3274,2013-01-03,Democrat,F
3275,2013-01-03,Republican,M
3276,2013-01-03,Republican,M
3278,2013-01-03,Republican,M
3279,2013-01-03,Democrat,M
3280,2013-01-03,Republican,M
3282,2013-01-03,Democrat,M
3283,2013-01-03,Democrat,F
3284,2013-01-03,Republican,M
3285,2013-01-03,Republican,F
3286,2013-01-03,Republican,M
3288,2013-01-03,Democrat,M
3289,2013-01-03,Democrat,M
3291,2013-01-03,Democrat,F
3292,2013-01-03,Republican,M
3293,2013-01-03,Republican,M
3294,2013-01-03,Democrat,M
3295,2013-01-03,Democrat,M
3296,2013-01-03,Democrat,M
3297,2013-01-03,Republican,F
3298,2013-01-03,Republican,M
3299,2013-01-03,Republican,F
3300,2013-01-03,Republican,F
3302,2013-01-03,Democrat,F
3303,2013-01-03,Republican,M
3304,2013-01-03,Republican,M
3305,2013-01-03,Republican,M
3306,2013-01-03,Republican,M
3307,2013-01-03,Republican,M
3308,2013-01-03,Republican,M
3309,2013-01-03,Republican,M
3310,2013-01-03,Republican,M
3311,2015-01-03,Republican,M
3312,2015-01-03,Republican,M
3313,2015-01-03,Republican,M
3314,2015-01-03,Democrat,M
3315,2015-01-03,Republican,M
3316,2015-01-03,Republican,M
3317,2017-01-03,Republican,M
3318,2017-01-03,Republican,M
3319,2017-01-03,Republican,M
3320,2017-01-03,Democrat,F
3321,2017-01-03,Republican,M
3322,2017-01-03,Republican,M
3323,2017-01-03,Democrat,F
3324,2017-01-03,Democrat,M
3325,2017-01-03,Republican,M
3326,2017-01-03,Democrat,M
3327,2017-01-03,Republican,F
3328,2017-01-03,Democrat,M
3330,2017-01-03,Democrat,M
3331,2017-01-03,Republican,M
3332,2017-01-03,Democrat,F
3333,2017-01-03,Republican,M
3334,2017-01-03,Democrat,M
3335,2017-01-03,Republican,M
3336,2017-01-03,Republican,M
3337,2017-01-03,Republican,M
3338,2017-01-03,Republican,M
3339,2017-01-03,Republican,M
3340,2017-01-03,Republican,M
3341,2017-01-03,Republican,M
3342,2017-01-03,Republican,M
3343,2017-01-03,Democrat,M
3344,2017-01-03,Democrat,M
3345,2017-01-03,Democrat,M
3346,2017-01-03,Republican,F
3349,2017-01-03,Republican,M
3350,2017-01-03,Republican,M
3351,2017-01-03,Democrat,F
3352,2017-01-03,Republican,M
3355,2017-01-03,Democrat,M
3356,2017-01-03,Democrat,M
3357,2017-01-03,Democrat,M
3358,2017-01-03,Republican,M
3359,2017-01-03,Democrat,M
3360,2017-01-03,Democrat,M
3361,2017-01-03,Republican,M
3362,2017-01-03,Republican,M
3363,2017-01-03,Republican,M
3364,2017-01-03,Democrat,M
3365,2017-01-03,Republican,M
3366,2017-01-03,Democrat,F
3367,2017-01-03,Republican,M
3368,2017-01-03,Democrat,M
3369,2017-01-03,Democrat,M
3370,2017-01-03,Democrat,M
3371,2017-01-03,Republican,M
3372,2017-01-03,Democrat,F
3373,2017-01-03,Republican,M
3375,2017-01-03,Democrat,M
3377,2017-01-03,Democrat,M
3378,2017-01-03,Republican,M
3379,2019-01-03,Democrat,F
3380,2019-01-03,Democrat,M
3381,2019-01-03,Democrat,M
3382,2019-01-03,Democrat,M
3383,2019-01-03,Democrat,M
3384,2019-01-03,Democrat,F
3385,2019-01-03,Republican,M
3386,2019-01-03,Republican,M
3387,2019-01-03,Republican,M
3388,2019-01-03,Democrat,F
3389,2019-01-03,Democrat,F
3390,2019-01-03,Democrat,F
3391,2019-01-03,Democrat,M
3392,2019-01-03,Democrat,M
3393,2019-01-03,Democrat,F
3394,2019-01-03,Republican,M
3395,2019-01-03,Republican,M
3396,2019-01-03,Democrat,F
3397,2019-01-03,Democrat,F
3398,2019-01-03,Republican,M
3399,2019-01-03,Democrat,F
3400,2019-01-03,Democrat,M
3401,2019-01-03,Democrat,F
3402,2019-01-03,Democrat,F
3403,2019-01-03,Democrat,F
3404,2019-01-03,Democrat,M
3405,2019-01-03,Democrat,F
3406,2019-01-03,Democrat,F
3407,2019-01-03,Republican,M
3408,2019-01-03,Democrat,F
3409,2019-01-03,Democrat,M
3410,2019-01-03,Democrat,F
3411,2019-01-03,Republican,M
3412,2019-01-03,Republican,M
3413,2019-01-03,Republican,M
3414,2019-01-03,Democrat,F
3415,2019-01-03,Democrat,M
3416,2019-01-03,Democrat,M
3417,2019-01-03,Democrat,M
3418,2019-01-03,Democrat,F
3419,2019-01-03,Democrat,F
3420,2019-01-03,Democrat,F
3421,2019-01-03,Democrat,M
3422,2019-01-03,Democrat,F
3423,2019-01-03,Democrat,M
3424,2019-01-03,Democrat,M
3425,2019-01-03,Democrat,M
3426,2019-01-03,Republican,M
3427,2019-01-03,Republican,M
3428,2019-01-03,Republican,M
3429,2019-01-03,Republican,M
3430,2019-01-03,Democrat,F
3431,2019-01-03,Democrat,F
3432,2019-01-03,Democrat,F
3433,2019-01-03,Democrat,F
3434,2019-01-03,Democrat,F
3435,2019-01-03,Republican,M
3436,2019-01-03,Republican,M
3437,2019-01-03,Republican,M
3438,2019-01-03,Democrat,M
3439,2019-01-03,Republican,M
3440,2019-01-03,Republican,M
3441,2019-01-03,Republican,M
3442,2019-01-03,Republican,M
3443,2019-01-03,Republican,M
3444,2019-01-03,Republican,M
3445,2019-01-03,Republican,M
3446,2019-01-03,Republican,M
3447,2019-01-03,Republican,M
3448,2019-01-03,Democrat,F
3449,2019-01-03,Democrat,F
3450,2019-01-03,Republican,M
3451,2019-01-03,Democrat,F
3452,2019-01-03,Democrat,M
3453,2019-01-03,Democrat,F
3454,2019-01-03,Republican,M
3455,2019-01-03,Republican,M
3456,2019-01-03,Democrat,F
3457,2019-01-03,Democrat,F
3458,2019-01-03,Democrat,F
3459,2019-01-03,Republican,F
3460,2019-01-03,Republican,M
