country,year,donors,pop,pop.dens,gdp,gdp.lag,health,health.lag,pubhealth,roads,cerebvas,assault,external,txp.pop,world,opt,consent.law,consent.practice,consistent,ccode
Australia,NA,NA,17065,0.220443289300653,16774,16591,1300.0,1224.0,4.8,136.595370641664,682,21,444,0.937591561675945,Liberal,In,Informed,Informed,Yes,Oz
Australia,1991,12.09,17284,0.223272300748461,17171,16774,1379.0,1300.0,5.4,122.251793566304,647,19,425,0.925711640823883,Liberal,In,Informed,Informed,Yes,Oz
Australia,1992,12.35,17495,0.225997969312331,17914,17171,1455.0,1379.0,5.4,112.832237782224,630,17,406,0.914547013432409,Liberal,In,Informed,Informed,Yes,Oz
Australia,1993,12.51,17667,0.228219841317002,18883,17914,1540.0,1455.0,5.4,110.545084055018,611,18,376,0.90564328974925,Liberal,In,Informed,Informed,Yes,Oz
Australia,1994,10.25,17855,0.230648399089549,19849,18883,1626.0,1540.0,5.4,107.980957714926,631,17,387,0.896107532903948,Liberal,In,Informed,Informed,Yes,Oz
Australia,1995,10.18,18072,0.233451574816373,21079,19849,1737.0,1626.0,5.5,111.609119079239,592,16,371,0.885347498893316,Liberal,In,Informed,Informed,Yes,Oz
Australia,1996,10.59,18311,0.236538943474026,21923,21079,1846.0,1737.0,5.6,107.585604281579,576,17,395,0.873791709901152,Liberal,In,Informed,Informed,Yes,Oz
Australia,1997,10.26,18518,0.239212940595927,22961,21923,1948.0,1846.0,5.7,95.4206717788098,525,17,385,0.864024192677395,Liberal,In,Informed,Informed,Yes,Oz
Australia,1998,10.48,18711,0.241706087670936,24148,22961,2077.0,1948.0,5.9,93.7950937950938,516,16,410,0.855111966223077,Liberal,In,Informed,Informed,Yes,Oz
Australia,1999,8.67,18926,0.244483427676774,25445,24148,2231.0,2077.0,6.1,93.2051146570855,493,15,409,0.84539786537039,Liberal,In,Informed,Informed,Yes,Oz
Australia,2000,10.23,19153,0.247415782008521,26545,25445,2379.0,2231.0,6.2,94.8676447553908,474,16,393,0.835378269722759,Liberal,In,Informed,Informed,Yes,Oz
Australia,2001,9.53,19413,0.250774425736512,27461,26545,2504.0,2379.0,6.2,89.4761242466388,449,15,367,0.824189975789419,Liberal,In,Informed,Informed,Yes,Oz
Australia,2002,10.48,19663,0.25400389085958,28168,27461,2629.0,2504.0,6.2,87.2196511213955,424,14,341,0.81371103087016206,Liberal,In,Informed,Informed,Yes,Oz
Australia,NA,NA,NA,NA,NA,28168,2754.0,2629.0,NA,NA,NA,NA,NA,NA,Liberal,In,Informed,Informed,Yes,Oz
Austria,NA,NA,7678,9.15573575005962,18914,17425,1344.0,1255.0,5.2,202.917426413128,953,16,614,0.651211252930451,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1991,27.6,7755,9.24755544955879,19860,18914,1419.0,1344.0,5.2,200.0,942,12,590,0.644745325596389,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1992,23.1,7841,9.35010732172669,20601,19860,1551.0,1419.0,5.5,178.931258768014,880,14,549,0.637673766101263,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1993,26.2,7906,9.42761745766754,21119,20601,1674.0,1551.0,5.9,162.28181128257,828,13,551,0.632431065013913,Corporatist,Out,Presumed,Presumed,Yes,Aus
